date,q1_fwd_price,q3_fwd_price
2022-10-24,98.125,96.5
2022-10-25,96.663,94.8
2022-10-26,93.375,91.5
2022-10-27,93.875,92.875
2022-10-28,97.125,96.45
2022-10-31,93.225,92.05
2022-11-01,90.375,87.575
2022-11-02,95.925,94.9
2022-11-03,91.725,89.325
2022-11-04,90.85,88.725
2022-11-07,91.913,90.038
2022-11-08,92.875,91.5
2022-11-09,90.275,89.625
2022-11-10,89.875,89.488
2022-11-11,82.038,81.65
2022-11-14,89.425,90.2
2022-11-15,93.613,93.638
2022-11-16,88.875,87.8
2022-11-17,89.875,91.8
2022-11-18,89.175,91.1
2022-11-21,88.875,89.95
2022-11-22,89.675,90.888
2022-11-23,90.375,91.775
2022-11-24,88.25,89.938
2022-11-25,88.263,89.95
2022-11-28,86.663,88.363
2022-11-29,86.813,88.613
2022-11-30,92.6,94.525
2022-12-01,91.475,93.4
2022-12-02,91.875,94.05
2022-12-05,93.275,95.3
2022-12-06,94.375,95.925
2022-12-07,95.425,97.125
2022-12-08,94.6,96.05
2022-12-09,96.3,97.925
2022-12-12,95.175,96.7
2022-12-13,95.65,97.425
2022-12-14,93.875,95.175
2022-12-15,94.475,95.2
2022-12-16,86.275,86.6
2022-12-19,82.4,83.25
2022-12-20,80.325,80.85
2022-12-21,76.5,77.7
2022-12-22,76.275,77.65
2022-12-23,73.9,75.75
2022-12-28,74.4,75.95
2022-12-29,74.825,76.675
2022-12-30,71.075,71.738
2023-01-03,69.138,68.8
2023-01-04,64.775,64.538
2023-01-05,67.225,66.938
2023-01-06,65.588,65.625
2023-01-09,68.475,71.3
2023-01-10,65.925,68.225
2023-01-11,64.725,67.225
2023-01-12,65.138,66.35
2023-01-13,61.088,62.4
2023-01-16,56.263,56.275
2023-01-17,58.475,58.738
2023-01-18,61.65,61.65
2023-01-19,61.875,61.975
2023-01-20,66.463,67.538
2023-01-23,63.938,64.725
2023-01-24,59.95,60.025
2023-01-25,58.1,57.575
2023-01-26,58.7,57.95
2023-01-27,60.075,59.275
2023-01-30,61.063,59.875
2023-01-31,61.838,60.575
2023-02-01,63.613,62.15
2023-02-02,62.288,60.863
2023-02-03,63.85,62.075
2023-02-06,63.413,61.763
2023-02-07,61.088,59.575
2023-02-08,60.375,58.4
2023-02-09,59.588,57.788
2023-02-10,59.325,57.763
2023-02-13,57.775,56.2
2023-02-14,58.313,56.738
2023-02-15,58.35,57.175
2023-02-16,57.463,56.213
2023-02-17,55.588,54.15
2023-02-20,54.525,53.463
2023-02-21,54.3,53.188
2023-02-22,54.475,53.263
2023-02-23,55.3,54.35
2023-02-24,55.7,54.663
2023-02-27,53.05,52.213
2023-02-28,52.488,51.375
2023-03-01,52.875,51.663
2023-03-02,51.875,50.763
2023-03-03,50.5,49.363
2023-03-06,49.038,47.525
2023-03-07,49.613,48.35
2023-03-08,48.45,47.075
2023-03-09,51.55,50.413
2023-03-10,56.625,56.125
2023-03-13,53.763,52.9
2023-03-14,50.175,49.45
2023-03-15,48.65,47.825
2023-03-16,51.063,50.313
2023-03-17,48.888,48.225
2023-03-20,46.538,45.888
2023-03-21,49.1,48.35
2023-03-22,48.338,47.588
2023-03-23,50.375,50.025
2023-03-24,48.85,48.45
2023-03-27,49.175,48.725
2023-03-28,50.888,49.938
2023-03-29,50.413,49.363
2023-03-30,51.975,50.95
2023-03-31,55.588,54.413
2023-04-03,59.95,59
2023-04-04,56.975,55.588
2023-04-05,54.838,53.513
2023-04-06,54.025,52.425
2023-04-11,56.713,55.05
2023-04-12,57.363,55.788
2023-04-13,56.6,54.625
2023-04-14,56,53.975
2023-04-17,56.263,54.125
2023-04-18,56.963,55.025
2023-04-19,54.538,52.875
2023-04-20,55.088,53.35
2023-04-21,54.738,53.063
2023-04-24,53.988,51.95
2023-04-25,54.838,52.813
2023-04-26,55.588,53.35
2023-04-27,57.863,55.625
2023-04-28,57.488,54.925
2023-05-02,56.625,54.05
2023-05-03,56.138,53.338
2023-05-04,54.975,52.45
2023-05-05,55.425,52.825
2023-05-09,56.775,54.075
2023-05-10,56.438,53.675
2023-05-11,56.825,53.963
2023-05-12,54.625,52.163
2023-05-15,53.05,49.513
2023-05-16,51.538,48.075
2023-05-17,52.838,49.65
2023-05-18,52,48.475
2023-05-19,52.288,48.975
2023-05-22,52.275,48.65
2023-05-23,52.925,49.288
2023-05-24,52.488,48.8
2023-05-25,49.338,45.338
2023-05-26,47.65,43.325
2023-05-30,47.025,43
2023-05-31,47.213,43.2
2023-06-01,46,42.05
2023-06-02,46.05,41.925
2023-06-05,48.1,44.3
2023-06-06,45.7,41.763
2023-06-07,46.2,42.075
2023-06-08,46.688,42.813
2023-06-09,50.175,46.713
2023-06-12,49.388,45.8
2023-06-13,52.2,48.5
2023-06-14,54.65,51.7
2023-06-15,55.063,52.413
2023-06-16,51.013,47.863
2023-06-19,52.2,50.1
2023-06-20,53.988,51.413
2023-06-21,54.263,51.738
2023-06-22,53.275,50.525
2023-06-23,52.25,49.675
2023-06-26,50.788,48.438
2023-06-27,51.938,50.038
2023-06-28,50.5,48.588
2023-06-29,51.2,49.788
2023-06-30,53.125,51.575
2023-07-03,51.263,49.225
2023-07-04,53.288,51.038
2023-07-05,54.113,51.375
2023-07-06,54.575,51.775
2023-07-07,56.2,53.413
2023-07-10,52.388,49.575
2023-07-11,51.238,48.35
2023-07-12,50.275,47.188
2023-07-13,50.85,47.713
2023-07-14,50.313,47.075
2023-07-17,50.85,47.6
2023-07-18,52.975,49.975
2023-07-19,52.825,49.8
2023-07-20,55.275,52.2
2023-07-21,54.25,50.65
2023-07-24,54.938,51.813
2023-07-25,56.263,53.3
2023-07-26,54.338,51.288
2023-07-27,54.688,51.413
2023-07-28,52.725,49.15
2023-07-31,53.675,50.063
2023-08-01,52.125,48.588
2023-08-02,52.225,48.413
2023-08-03,52.85,49.125
2023-08-04,52.375,48.563
2023-08-07,53.35,49.613
2023-08-08,52.725,49.1
2023-08-09,54.675,51.338
2023-08-10,53.725,49.85
2023-08-11,54.325,50.825
2023-08-14,54.2,50.9
2023-08-15,57.25,54.35
2023-08-16,57.175,54.188
2023-08-17,56.913,53.475
2023-08-18,57.325,53.85
2023-08-21,57.95,55.213
2023-08-22,59.513,56.763
2023-08-23,56.975,53.775
2023-08-24,53.288,49.738
2023-08-25,55.1,51.575
2023-08-29,55.663,51.938
2023-08-30,56.613,53.025
2023-08-31,55.325,51.463
2023-09-01,55.65,51.788
2023-09-04,54.625,50.888
2023-09-05,55.825,51.938
2023-09-06,53.9,49.763
2023-09-07,54.463,50.45
2023-09-08,54.4,50.313
2023-09-11,55.225,51.025
2023-09-12,54.7,50.525
2023-09-13,55.575,51.738
2023-09-14,54.8,50.675
2023-09-15,55.075,51
2023-09-18,53.575,49.263
2023-09-19,54.1,50.025
2023-09-20,53.138,48.725
